,0
LOAN_ID,0
DATE,0
CUSTOMER_AGE,0
TOTAL_PAID,0
TOTAL_DUE_TODAY,28
BALANCE,8
DAYS_PAST_DUE,0
CLOSING_BALANCE,8
ADVANCE,0
BALANCE_DUE_TO_DATE,28
ARREARS,0
BALANCE_DUE_STATUS,0
PAYMENT,0
EXPECTED_PAYMENT,0
FIRST_PAYMENT,0
FIRST_EXPECTED_PAYMENT,0
ACCOUNT_STATUS_L1,0
ACCOUNT_STATUS_L2,0
RETURN_DATE_x,68004
SALE_DATE_x,0
CREDIT_CHECK_DONE,0
PAYMENT_AMOUNT,0
ADJUSTMENT_AMOUNT,69902
PREPAYMENT_AMOUNT,0
DEPOSIT,8
WEEKLY_RATE,8
CREDIT_EXPIRY,0
NEXT_INVOICE_DATE,0
DISCOUNT,0
OVERPAYMENT_AMOUNT,0
MAX_PAYMENT_DATE,749
INITIAL_PAY,0
TOTAL_PAID_WITH_ADJUSTMENTS_15D,0
SOURCE_FILE,0
UNNAMED:_28,73216
PAYMENT_RATIO,0
RISK_CATEGORY,0
AGE_BAND,0
SALE_ID,65
SALE_DATE_y,65
RETURNED,65
RETURN_DATE_y,66227
SALE_TYPE,73
SELLER,317
SELLER_TYPE,17011
RETURN_POLICY_COMPLIANCE,66227
CASH_PRICE,73
LOAN_PRICE,73
CLIENT_MODEL,190
BUSINESS_MODEL,65
LOAN_TERM,82
PRODUCT_NAME,73
MODEL,73
SUBMISSION_ID,60419
RESPONDENT_ID,60419
SUBMITTED_AT,60419
"USING_A_SCALE_FROM_0_(NOT_LIKELY)_TO_10_(VERY_LIKELY),_HOW_LIKELY_ARE_YOU_TO_RECOMMEND_ABC_PHONES_TO_FRIENDS_OR_FAMILY?",60876
NPS_REASON,69641
IMPROVEMENT_FEEDBACK,69782
ARE_YOU_HAPPY_WITH_THE_QUALITY_AND_PERFORMANCE_OF_YOUR_DEVICE?,65008
ARE_YOU_HAPPY_WITH_THE_SERVICE_AND_SUPPORT_PROVIDED_BY_ABC_PHONES?,65076
HAVE_YOU_EVER_EXPERIENCED_A_DELAY_IN_YOUR_PAYMENT_REFLECTING_IN_YOUR_ABC_ACCOUNT?,65808
HAVE_YOU_EVER_HAD_DIFFICULTY_GETTING_ASSISTANCE_FROM_ABC_PHONES_CUSTOMER_SUPPORT_WHEN_NEEDED?,65860
SUPPORT_FEEDBACK,67078
BATTERY_ISSUES,66736
MOAPP_USAGE,66784
PREFERRED_CHANNEL,66848
PHONE_LOCK_ISSUE,66878
OTHER_FEEDBACK,67764
